user_id,final_label,stateful_label_v2,misroute,evidence_summary,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
PF3KG4XY_TP-Telemetry,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_NORMAL_RESPONDING,proxy_GAUGE_in_normal,days_eff=174 days_any=174 cyc_eff=3 hq_nr=0 total_nr=0 cens=0 lg_opp=0 opp=0 norm_anom=-0.00 conf_p=1 micro_only=False cluster=MOBILE_DEEP_CYCLE,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
PF3MC0GA_TP-Telemetry,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_NORMAL_RESPONDING,proxy_GAUGE_in_normal,days_eff=140 days_any=140 cyc_eff=1 hq_nr=0 total_nr=0 cens=0 lg_opp=0 opp=0 norm_anom=-0.00 conf_p=1 micro_only=False cluster=MOBILE_DEEP_CYCLE,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
PF3MDFJC_TP-Telemetry,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_NORMAL_RESPONDING,proxy_GAUGE_in_normal,days_eff=125 days_any=125 cyc_eff=2 hq_nr=0 total_nr=0 cens=0 lg_opp=0 opp=0 norm_anom=-0.00 conf_p=1 micro_only=False cluster=MOBILE_DEEP_CYCLE,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
