response_window_hours,n_responded,n_no_response,n_censored,response_rate_complete,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
24,574,1734,11,0.2487,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
72,901,1402,16,0.3912,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
168,1338,959,22,0.5825,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
