episode_max_gap_hours,n_ok,n_large_gap,ok_fraction,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
6.0,895,10447,0.0789,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
12.0,2319,9023,0.2045,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
24.0,5050,6292,0.4452,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
