mechanism,regime,detector,mean_false_no_response,mean_missed_no_response,mean_n_no_response,false_per_user_point,false_per_user_ci_lo,false_per_user_ci_hi,mean_episode_recovery,n_replicates
union,mcar_10pct,graded,22.2,121.467,3691.267,1.2333,0.6518,1.8593,0.9723,15
union,mcar_10pct,proposed,5.2,121.6,3673.267,0.2889,0.1556,0.4556,0.9723,15
union,mcar_20pct,naive,202.533,256.267,3676.267,11.2519,6.6947,16.1151,0.9367,15
union,mcar_20pct,binary_gap_gate,24.6,404.467,3184.133,1.3667,0.8367,2.0076,0.9367,15
union,mcar_20pct,graded,27.133,275.667,3376.133,1.5074,1.0072,2.0259,0.9367,15
union,mcar_20pct,proposed,12.267,276.0,3360.333,0.6815,0.3741,1.0556,0.9367,15
union,mcar_30pct,naive,193.467,426.8,3325.733,10.7481,6.5926,16.7881,0.8917,15
union,mcar_30pct,binary_gap_gate,29.0,594.6,2856.4,1.6111,1.0625,2.2371,0.8917,15
union,mcar_30pct,graded,32.4,458.2,3040.2,1.8,1.2222,2.4337,0.8917,15
union,mcar_30pct,proposed,17.867,458.467,3024.867,0.9926,0.5629,1.493,0.8917,15
union,mcar_50pct,naive,176.0,953.0,2534.6,9.7778,6.0885,14.7596,0.7583,15
union,mcar_50pct,binary_gap_gate,29.4,1172.2,2104.467,1.6333,1.1033,2.1563,0.7583,15
union,mcar_50pct,graded,35.333,1012.333,2277.333,1.963,1.3331,2.5371,0.7583,15
union,mcar_50pct,proposed,24.267,1012.6,2265.6,1.3481,0.8289,1.963,0.7583,15
union,gap_3h_around_low,naive,210.867,3.667,4297.8,11.7148,6.873,16.7231,0.9992,15
union,gap_3h_around_low,binary_gap_gate,17.267,122.133,3779.667,0.9593,0.3956,1.6306,0.9992,15
union,gap_3h_around_low,graded,18.267,4.067,3980.2,1.0148,0.4472,1.7006,0.9992,15
union,gap_3h_around_low,proposed,0.333,4.067,3961.333,0.0185,0.0074,0.0296,0.9992,15
union,gap_6h_around_low,naive,211.0,5.0,4296.933,11.7222,7.4431,16.8931,0.9989,15
union,gap_6h_around_low,binary_gap_gate,17.133,123.133,3778.867,0.9519,0.3333,1.6825,0.9989,15
union,gap_6h_around_low,graded,18.133,5.4,3979.467,1.0074,0.3875,1.6115,0.9989,15
union,gap_6h_around_low,proposed,0.133,5.4,3960.467,0.0074,0.0,0.0222,0.9989,15
union,gap_12h_around_low,naive,210.733,6.467,4295.4,11.7074,7.4431,16.6045,0.9985,15
union,gap_12h_around_low,binary_gap_gate,17.2,125.2,3777.267,0.9556,0.388,1.615,0.9985,15
union,gap_12h_around_low,graded,18.2,6.667,3978.133,1.0111,0.4073,1.6343,0.9985,15
union,gap_12h_around_low,proposed,0.267,6.667,3959.267,0.0148,0.0037,0.0296,0.9985,15
union,gap_24h_around_low,naive,211.0,9.0,4292.267,11.7222,7.384,17.189,0.998,15
union,gap_24h_around_low,binary_gap_gate,17.067,128.4,3773.6,0.9481,0.3406,1.5001,0.998,15
union,gap_24h_around_low,graded,18.067,10.467,3973.333,1.0037,0.3926,1.7261,0.998,15
union,gap_24h_around_low,proposed,0.067,10.467,3954.333,0.0037,0.0,0.0111,0.998,15
union,gap_48h_around_low,naive,210.267,17.467,4285.8,11.6815,7.8062,17.005,0.9956,15
union,gap_48h_around_low,binary_gap_gate,16.933,135.933,3768.067,0.9407,0.3924,1.6816,0.9956,15
union,gap_48h_around_low,graded,17.933,18.733,3967.467,0.9963,0.4435,1.7112,0.9956,15
union,gap_48h_around_low,proposed,0.2,18.733,3948.733,0.0111,0.0,0.0259,0.9956,15
union,gap_24h_high_to_low,naive,210.933,7.533,4293.667,11.7185,7.3232,16.7606,0.9982,15
union,gap_24h_high_to_low,binary_gap_gate,17.0,125.933,3775.2,0.9444,0.3406,1.6111,0.9982,15
union,gap_24h_high_to_low,graded,18.0,8.6,3974.667,1.0,0.3888,1.6122,0.9982,15
