detector,retention_days,response_window_h,gap_config,recall,duplicate_rate,resolvable_rate,response_agreement,no_response_mae,storage_ratio
stateless,30,72,graded,0.9934000000000001,15.274935714285714,0.9845071428571428,0.9902142857142857,0.05814285714285714,0.1735
stateless,30,72,ok_only,0.9941571428571429,15.330250000000001,0.9854285714285714,0.9911642857142857,0.029614285714285715,0.1735
stateless,30,168,graded,0.9934000000000001,15.274935714285714,0.9718214285714285,0.9825214285714285,0.20597142857142856,0.1735
stateless,30,168,ok_only,0.9941571428571429,15.330250000000001,0.9729714285714285,0.9838071428571428,0.16605714285714288,0.1735
stateless,45,24,graded,0.9937928571428571,22.95055,0.9908285714285714,0.9930214285714286,0.017907142857142854,0.2602
stateless,45,24,ok_only,0.9942285714285715,23.013892857142856,0.9912714285714286,0.9934714285714286,0.0032214285714285717,0.2602
stateless,45,72,graded,0.9937928571428571,22.95055,0.985107142857143,0.9908071428571429,0.04137142857142857,0.2602
stateless,45,72,ok_only,0.9942285714285715,23.013892857142856,0.9855142857142857,0.99125,0.0262,0.2602
stateless,45,168,graded,0.9937928571428571,22.95055,0.9726785714285714,0.9834071428571428,0.1829,0.2602
stateless,45,168,ok_only,0.9942285714285715,23.013892857142856,0.9731857142857143,0.9839785714285714,0.16134285714285715,0.2602
stateless,60,24,graded,0.9938857142857144,30.29605714285714,0.9909214285714285,0.9931428571428571,0.0137,0.347
stateless,60,24,ok_only,0.9942285714285715,30.369471428571426,0.9912714285714286,0.9934714285714286,0.0032214285714285717,0.347
stateless,60,72,graded,0.9938857142857144,30.29605714285714,0.9851928571428571,0.9909214285714285,0.037578571428571426,0.347
stateless,60,72,ok_only,0.9942285714285715,30.369471428571426,0.9855142857142857,0.99125,0.0262,0.347
stateless,60,168,graded,0.9938857142857144,30.29605714285714,0.9727785714285714,0.9835,0.17949285714285715,0.347
stateless,60,168,ok_only,0.9942285714285715,30.369471428571426,0.9731928571428572,0.9839857142857144,0.16102857142857144,0.347
stateless,90,24,graded,0.9940428571428571,44.08451428571429,0.9910785714285714,0.9933,0.006585714285714286,0.5205
stateless,90,24,ok_only,0.9942285714285715,44.17857857142857,0.9912714285714286,0.9934714285714286,0.0032214285714285717,0.5205
stateless,90,72,graded,0.9940428571428571,44.08451428571429,0.9853857142857143,0.9910785714285714,0.03027142857142857,0.5205
stateless,90,72,ok_only,0.9942285714285715,44.17857857142857,0.9855142857142857,0.99125,0.0262,0.5205
stateless,90,168,graded,0.9940428571428571,44.08451428571429,0.9729571428571429,0.983692857142857,0.17177142857142855,0.5205
stateless,90,168,ok_only,0.9942285714285715,44.17857857142857,0.9731928571428572,0.9839857142857144,0.16102857142857144,0.5205
