user_id,final_label,stateful_label_v2,misroute,evidence_summary,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
JFISHEL-F56FAH2_jfishel,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_NORMAL_RESPONDING,proxy_GAUGE_in_normal,days_eff=175 days_any=175 cyc_eff=26 hq_nr=0 total_nr=0 cens=0 lg_opp=0 opp=0 norm_anom=-0.00 conf_p=1 micro_only=False cluster=MOBILE_DEEP_CYCLE,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
PF3MC0GA_TP-Telemetry,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_NORMAL_RESPONDING,proxy_GAUGE_in_normal,days_eff=140 days_any=140 cyc_eff=1 hq_nr=0 total_nr=0 cens=0 lg_opp=0 opp=0 norm_anom=-0.00 conf_p=1 micro_only=False cluster=MOBILE_DEEP_CYCLE,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
TM1SIT1XPF4LA6X_EEP,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_NORMAL_RESPONDING,proxy_GAUGE_in_normal,days_eff=287 days_any=287 cyc_eff=14 hq_nr=0 total_nr=0 cens=0 lg_opp=0 opp=0 norm_anom=-0.00 conf_p=1 micro_only=False cluster=MOBILE_DEEP_CYCLE,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
