stateful_label_v2,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,NORMAL_OR_RESPONDING,REVIEW_INSUFFICIENT_DATA,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
STATEFUL_FW_CHECK_CORE,22,0,18,7,2,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
STATEFUL_FW_WATCH_HIGH_ANOMALY,3,0,52,36,8,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
STATEFUL_GAUGE_SOFT_CALIBRATION_EFFECTIVE_ONLY,0,0,2,0,0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
STATEFUL_NORMAL_RESPONDING,0,3,23,12,3,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
STATEFUL_REVIEW_DATA_QUALITY,10,7,81,211,16,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
STATEFUL_WATCH_LARGE_GAP_OR_CENSORED,0,0,46,20,4,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
STATEFUL_WATCH_LOW_EVIDENCE,0,0,105,52,9,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
