population,proxy,n_flagged,n_proxy,tp,precision,recall,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
FW_CORE,FW,49,35,22,0.449,0.6286,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE+FW_WATCH,FW,148,35,25,0.1689,0.7143,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_ENGINEERING_TOP50,FW,50,35,27,0.54,0.7714,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_ENGINEERING_TOP100,FW,100,35,33,0.33,0.9429,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
GAUGE_CORE,GAUGE,0,10,0,0.0,0.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
GAUGE_CORE+SOFT,GAUGE,2,10,0,0.0,0.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
