user_id,first_alert_date,last_obs_date,final_label,lead_time_days,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
ABUCKNER-0B0WH8_abuckner,2025-03-24,2026-06-01,NORMAL_OR_RESPONDING,434,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AH-PF2PXA6R_ah,2025-06-09,2026-02-11,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,247,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AMCCLARNON-TSEM_amcclarnon,2025-08-27,2025-11-19,NORMAL_OR_RESPONDING,84,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ANDY_zuyin,2024-03-28,2024-05-08,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,41,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ANIETO1-F5GNTSH_anieto1,2025-08-05,2026-03-17,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,224,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ANUPT14S_avachali,2024-07-03,2025-11-11,NORMAL_OR_RESPONDING,496,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ANUP_TINY,2024-07-03,2025-11-04,NORMAL_OR_RESPONDING,489,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
