stateful_label,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,NORMAL_OR_RESPONDING,REVIEW_INSUFFICIENT_DATA,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
STATEFUL_GAUGE_RESET_CANDIDATE,1,0,0,0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
STATEFUL_NORMAL,0,8,13,2,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
STATEFUL_REVIEW,2,1,0,1,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
STATEFUL_WATCH,0,8,2,2,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
