user_id,final_label,recommended_action,confidence,subreason,review_priority,gauge_reset_score_0_100,fw_check_score_0_100,ml_fw_support_score_0_100,primary_evidence,flat_tail_days,fcc_changes,tail_cycle_delta,tail_n_80_20_80_ok,tail_n_unresponded_80_20_80_complete_window,tail_n_unresponded_90_10_90_complete_window,tail_n_80_20_80_large_gap,tail_ac_time_ratio,tail_min_rsoc,obs_days,data_quality_label,device_model,batt_vendor,batt_fru,operational_message,watch_subreason,analysis_timestamp
PANTHER3_SVT,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,68.7,43.8,0.0,"flat_tail=301.0d, fcc_changes=0, tail_cyc=19.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=1/2 -> ambiguous (watch)",301.0,0,19.0,0,0,0,2,0.7453,2.0,301.01,QUALITY_OK,ThinkPad X1 Carbon Gen 11,SMP,5B10W13973,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,2026-06-03T16:38:27
RAY-X1-9_Ratan,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,46.6,50.5,98.1,"flat_tail=27.2d, fcc_changes=8, tail_cyc=5.0, tail_ok[90/80]=1/1, unresp_complete[90/80]=1/1, large_gap[90/80]=0/0 -> ambiguous (watch)",27.2,8,5.0,1,1,1,0,0.5633,0.0,757.3,QUALITY_OK,ThinkPad X1 Carbon Gen 9,SMP,5B10W13973,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_ACTIVE_LOW_CADENCE,2026-06-03T16:38:27
ROROSAS-F4HH26Y_rorosas,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,56.2,50.0,0.0,"flat_tail=749.4d, fcc_changes=0, tail_cyc=102.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/5 -> ambiguous (watch)",749.4,0,102.0,0,0,0,5,0.6003,15.0,749.41,QUALITY_OK,ThinkPad T16 Gen 2,Celxpert,5B10W51872,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,2026-06-03T16:38:27
RSEKINOXF43CNVB_rsekino,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,37.7,56.6,19.1,"flat_tail=97.0d, fcc_changes=7, tail_cyc=22.0, tail_ok[90/80]=0/1, unresp_complete[90/80]=0/1, large_gap[90/80]=9/10 -> ambiguous (watch)",97.0,7,22.0,1,1,0,10,0.2726,6.0,663.9,QUALITY_OK,ThinkPad X1 Yoga Gen 7,SMP,5B10W13973,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_BORDERLINE_FLAT_TAIL_OR_CYCLES,2026-06-03T16:38:27
SDESCHENES-FH3M_sdeschenes,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,36.6,70.8,98.1,"flat_tail=39.9d, fcc_changes=21, tail_cyc=21.0, tail_ok[90/80]=2/4, unresp_complete[90/80]=2/4, large_gap[90/80]=2/2 -> ambiguous (watch)",39.9,21,21.0,4,4,2,2,0.6358,3.0,889.67,QUALITY_OK,ThinkPad T14 Gen 4,SMP,5B10W51864,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_ACTIVE_LOW_CADENCE,2026-06-03T16:38:27
TK-THAMES2_takay,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,69.3,43.6,0.0,"flat_tail=193.2d, fcc_changes=1, tail_cyc=18.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/1 -> ambiguous (watch)",193.2,1,18.0,0,0,0,1,0.5392,6.0,331.67,QUALITY_OK,ThinkPad X1 Carbon Gen 13,SMP,5B11M90097,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,2026-06-03T16:38:27
TM1SIT1XPF4LA6X_EEP,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,71.6,42.8,0.0,"flat_tail=286.8d, fcc_changes=13, tail_cyc=14.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/3 -> ambiguous (watch)",286.8,13,14.0,0,0,0,3,0.8668,1.0,642.78,QUALITY_OK,ThinkPad X1 Carbon Gen 12,SMP,5B11H56383,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,2026-06-03T16:38:27
TMOCHIZUKI-FHMH_tmochizuki,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,78.8,40.8,0.0,"flat_tail=312.3d, fcc_changes=0, tail_cyc=4.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=3/3 -> ambiguous (watch)",312.3,0,4.0,0,0,0,3,0.9788,2.0,312.26,QUALITY_OK,ThinkPad T14 Gen 4,Celxpert,5B10W51866,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,2026-06-03T16:38:27
TP-X1C-G11_emmet,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,60.4,43.8,0.0,"flat_tail=176.5d, fcc_changes=1, tail_cyc=22.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=1/4 -> ambiguous (watch)",176.5,1,22.0,0,0,0,4,0.5968,1.0,185.27,QUALITY_OK,ThinkPad X1 Carbon Gen 11,Sunwoda,5B10W13975,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,2026-06-03T16:38:27
WANGTC3-F4210KH_wangtc3,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,45.0,18.4,0.0,"flat_tail=35.8d, fcc_changes=12, tail_cyc=12.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=1/6 -> ambiguous (watch)",35.8,12,12.0,0,0,0,6,0.8226,2.0,851.86,QUALITY_OK,ThinkPad T14s Gen 3,SMP,5B10W51875,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,2026-06-03T16:38:27
X9ALADDIN-NAITO_arima,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,47.4,39.8,0.0,"flat_tail=220.2d, fcc_changes=0, tail_cyc=24.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=5/7 -> ambiguous (watch)",220.2,0,24.0,0,0,0,7,0.3122,0.0,220.15,QUALITY_SPARSE,ThinkPad X9-15 Gen 1,BYD,L24B4PE2,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,2026-06-03T16:38:27
YINGNIE-W01KL34_yingnie,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,51.0,32.0,0.0,"flat_tail=8.4d, fcc_changes=2, tail_cyc=3.0, tail_ok[90/80]=1/1, unresp_complete[90/80]=0/0, large_gap[90/80]=0/0 -> ambiguous (watch)",8.4,2,3.0,1,0,0,0,0.8888,2.0,377.7,QUALITY_OK,ThinkPad X1 Nano Gen 2,Celxpert,5B11F28682,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_INSUFFICIENT_COMPLETE_WINDOWS,2026-06-03T16:38:27
YSUZUKI11-9S4B8_ysuzuki11,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,62.7,50.0,0.0,"flat_tail=498.8d, fcc_changes=1, tail_cyc=215.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=1/5 -> ambiguous (watch)",498.8,1,215.0,0,0,0,5,0.9272,3.0,508.58,QUALITY_OK,ThinkPad T14 Gen 3,,,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,2026-06-03T16:38:27
YTAGAMI-F3TQANR_ytagami,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,48.8,76.0,40.1,"flat_tail=551.1d, fcc_changes=2, tail_cyc=107.0, tail_ok[90/80]=0/1, unresp_complete[90/80]=0/1, large_gap[90/80]=12/21 -> ambiguous (watch)",551.1,2,107.0,1,1,0,21,0.388,0.0,889.98,QUALITY_OK,ThinkPad X1 Yoga Gen 6,Sunwoda,5B10W13975,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_OTHER_AMBIGUOUS,2026-06-03T16:38:27
