user_id,final_label,recommended_action,confidence,sub_reason,gauge_reset_score_0_100,fw_check_score_0_100,primary_evidence,flat_tail_days,fcc_changes,tail_cycle_delta,tail_n_90_10_90_ok,tail_n_80_20_80_ok,tail_n_85_15_85_ok,tail_response_rate_80_20_80_72h,relevant_response_rate_72h,tail_ac_time_ratio,tail_min_rsoc,tail_max_rsoc,tail_rsoc_swing,obs_days,data_quality_label,device_model,batt_vendor,batt_fru,operational_message,analysis_timestamp
BMIAO-PF4CFQ04_bmiao,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING,91.6,37.3,"flat_tail=156.8d, fcc_changes=0, tail_cyc=6.0, tail_ok[90/80/85]=0/0/0, ac=0.93, min_rsoc=2.0, swing=98.0 -> no learning opportunity in flat tail",156.8,0,6.0,0,0,0,,,0.9251,2.0,100.0,98.0,156.82,QUALITY_OK,ThinkPad T16 Gen 2,Celxpert,5B10W51872,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
AGEORGE3-4SA7W2_ageorge3,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING,91.1,42.6,"flat_tail=185.4d, fcc_changes=1, tail_cyc=13.0, tail_ok[90/80/85]=0/0/0, ac=0.88, min_rsoc=17.0, swing=83.0 -> no learning opportunity in flat tail",185.4,1,13.0,0,0,0,,,0.8823,17.0,100.0,83.0,203.88,QUALITY_OK,ThinkPad X13 Gen 5,SMP,5B11M90048,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
KTAKEDA5-3ZPVTQ_ktakeda5,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING,91.1,43.0,"flat_tail=217.0d, fcc_changes=7, tail_cyc=15.0, tail_ok[90/80/85]=0/0/0, ac=0.93, min_rsoc=6.0, swing=94.0 -> no learning opportunity in flat tail",217.0,7,15.0,0,0,0,,,0.9292,6.0,100.0,94.0,410.55,QUALITY_OK,ThinkPad X1 Carbon Gen 10,,,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
TM1SIT1XPF4LA6X_EEP,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING,90.3,42.8,"flat_tail=286.8d, fcc_changes=13, tail_cyc=14.0, tail_ok[90/80/85]=0/0/0, ac=0.87, min_rsoc=1.0, swing=95.0 -> no learning opportunity in flat tail",286.8,13,14.0,0,0,0,,,0.8668,1.0,96.0,95.0,642.78,QUALITY_OK,ThinkPad X1 Carbon Gen 12,SMP,5B11H56383,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
KURADA-4_kurada,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_SHALLOW_RANGE,89.6,44.0,"flat_tail=366.6d, fcc_changes=5, tail_cyc=20.0, tail_ok[90/80/85]=0/0/0, ac=0.98, min_rsoc=23.0, swing=77.0 -> no learning opportunity in flat tail",366.6,5,20.0,0,0,0,,,0.9823,23.0,100.0,77.0,464.94,QUALITY_OK,ThinkPad X12 Detachable Gen 2,SMP,5B10Z26480,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
PR2-SVT-M1_MARUICHIT,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING;NO_OPPORTUNITY_SHALLOW_RANGE,89.6,31.7,"flat_tail=127.8d, fcc_changes=0, tail_cyc=2.0, tail_ok[90/80/85]=0/0/0, ac=0.97, min_rsoc=76.0, swing=24.0 -> no learning opportunity in flat tail",127.8,0,2.0,0,0,0,,,0.9657,76.0,100.0,24.0,127.76,QUALITY_OK,ThinkPad X1 Carbon Gen 10,Sunwoda,5B10W13975,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
PF3MDFJC_TP-Telemetry,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING,89.1,31.1,"flat_tail=123.9d, fcc_changes=0, tail_cyc=2.0, tail_ok[90/80/85]=0/0/0, ac=0.97, min_rsoc=3.0, swing=97.0 -> no learning opportunity in flat tail",123.9,0,2.0,0,0,0,,,0.971,3.0,100.0,97.0,123.9,QUALITY_OK,ThinkPad X1 Carbon Gen 10,SMP,5B10W13973,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
BFALEIRO-0A1NXZ_bfaleiro,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_LOW_CYCLING,88.2,40.4,"flat_tail=372.7d, fcc_changes=378, tail_cyc=2.0, tail_ok[90/80/85]=0/0/0, ac=0.46, min_rsoc=0.0, swing=100.0 -> no learning opportunity in flat tail",372.7,378,2.0,0,0,0,,,0.458,0.0,100.0,100.0,693.01,QUALITY_OK,ThinkPad L13 Gen 5,Celxpert,5B11H56424,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
PANTHER3_SVT,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_LOW_CYCLING,85.4,43.8,"flat_tail=301.0d, fcc_changes=0, tail_cyc=19.0, tail_ok[90/80/85]=0/0/0, ac=0.75, min_rsoc=2.0, swing=98.0 -> no learning opportunity in flat tail",301.0,0,19.0,0,0,0,,,0.7453,2.0,100.0,98.0,301.01,QUALITY_OK,ThinkPad X1 Carbon Gen 11,SMP,5B10W13973,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
TAJISAKA-49SXPJ_tajisaka,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND,83.9,50.0,"flat_tail=573.9d, fcc_changes=5, tail_cyc=69.0, tail_ok[90/80/85]=0/0/0, ac=0.94, min_rsoc=14.0, swing=86.0 -> no learning opportunity in flat tail",573.9,5,69.0,0,0,0,,,0.9438,14.0,100.0,86.0,965.97,QUALITY_OK,ThinkPad X1 Carbon Gen 10,SMP,5B11M90056,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
