metric,n_active_reference,p05,p10,p25,p50,default_used,analysis_timestamp
fcc_changes_per_100_cycles,214,4.2443,16.0253,100.0,116.398,p05,2026-06-03T16:38:27
fcc_change_rate_per_100d,214,1.4109,3.1128,10.401,22.4715,p05,2026-06-03T16:38:27
