fw_core_days,fw_core_cycles,fw_core_anomaly,n_fw_core,n_gauge_core,jaccard_fw_core_vs_default,jaccard_gauge_core_vs_default,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
60.0,20.0,1.3,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
60.0,20.0,2.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
60.0,20.0,3.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
60.0,30.0,1.3,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
60.0,30.0,2.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
60.0,30.0,3.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
60.0,50.0,1.3,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
60.0,50.0,2.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
60.0,50.0,3.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,20.0,1.3,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,20.0,2.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,20.0,3.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,30.0,1.3,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,30.0,2.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,30.0,3.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,50.0,1.3,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,50.0,2.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,50.0,3.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,20.0,1.3,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,20.0,2.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,20.0,3.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,30.0,1.3,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,30.0,2.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,30.0,3.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,50.0,1.3,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,50.0,2.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,50.0,3.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,20.0,1.3,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,20.0,2.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,20.0,3.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,30.0,1.3,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,30.0,2.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,30.0,3.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,50.0,1.3,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,50.0,2.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,50.0,3.0,2,0,1.0,1.0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
