anchor,metric,point,ci_lo,ci_hi
start,contamination_frac_72h,0.5569218564061881,0.5277861030730346,0.587545876406616
low,contamination_frac_72h,0.2701075268817204,0.24097137982242275,0.3075528568283855
end,contamination_frac_72h,0.0,0.0,0.0
