user_id,design_mwh
0350LQ-PF593HRF_0350LQ,57029.434546862896
ABUCKNER-0B0WH8_abuckner,89998.93378825035
ADAMSTHAMESLNLB_Howes,57029.970126240725
ADAMS_ALLOY,55100.61067173891
ADAMS_JAGUAR3,57049.9745028047
ADIEHL-PF4CNVD9_adiehl,56999.06609940853
AGEORGE3-4SA7W2_ageorge3,54732.346807031485
AH-PF2PXA6R_ah,57000.0
AH-PF4KXDJ8_ah,57029.47845804989
AIII1-PF55Q7L6_aiii1,87379.11497509036
AIII1-PF6249QS_aiii1,60000.0
AIII1-PW0J2TQF_aiii1,54749.72414484903
AINOW_UX,58000.0
AKOZLOWSKI-ALZD_akozlowski,75002.49975002499
AL-SVT7_xuxru,55099.364470896806
ALLOY-SIT_mripp,55097.96081567373
ALLOY_FINALSVT,55099.5896306676
AMALU_asanthosh,57030.31511767052
AMANDELBLOO-4SM_amandelbloom,55100.105374077975
AMANDELBLOO-9TD_amandelbloom,75000.0
AMANDELBLOO-VBQ_amandelbloom,54699.87494789496
AMANDELBLOOXH8H_amandelbloom,52500.0
AMCCLARNON-1Z35_amcclarnon,45998.00399201597
AMCCLARNON-69JL_amcclarnon,57028.942705256944
AMCCLARNON-TSEM_amcclarnon,58001.97823936697
AMIGDOL-F67CCZ1_amigdol,60000.0
AMIKAMI-F49VQPZ_amikami,57050.29013539651
ANAKAMURA8-3ZVB_anakamura8,57000.0
ANDY-TH1_zuyin,57030.22339027595
ANDY_zuyin,57049.9393672142
ANIETO1-F5GNTSH_anieto1,57000.0
ANODA-PF5E0G8K_anoda,58000.83998320034
ANUPT14S_avachali,54699.91173874669
ANUP_TINY,54699.91173874669
AOHYAMA-F3Y6JVY_aohyama,56999.884964914294
APARAMESWAR-G5E_aparameswara,86000.0
APARAMESWAR-PAD_aparameswara,54699.67904630904
ARAMAR-R9109T7G_aramar,80399.85719385934
ARANGANATHA-8QB_aranganathan,57000.983284169124
ASANTHOSH-9S10E_asanthosh,56999.5081160846
ASANTHOSH-FT15Y_X1,57029.937753186445
ASANTHOSH-FT15Y_asanthosh,57029.937753186445
ASANTHOSH_asanthosh,60000.0
ASHISHIDO-RHBV7_ashishido,50448.975636517884
ATOKYO-PF3TQD0N_atokyo,57000.0
AVACHALI-4SM98Q_avachali,54699.91173874669
AVON-SVTSKU3_Avon,58000.6004202942
AVON_SIT2,58000.0
BDILLON-F4RV0ZR_bdillon,52569.941444372154
BDILLON-F58TDBM_bdillon,57030.0
BDILLON-F5CZRRY_T14,56999.89992995096
BDILLON-F5CZRRY_bdillon,56999.89992995096
BDILLON-F62WZTG_bdillon,60000.0
BDILLON-F65JXS1_bdillon,54699.83018679453
BDILLON-F67NKP7_bdillon,75002.49975002499
BFALEIRO-0A1NXZ_bfaleiro,46000.0
BFALEIRO-5C6ATS_bfaleiro,57028.58487236795
BFALEIRO-629K3A_bfaleiro,75000.0
BILLWORK2_ottow,75000.0
BKOCHUPARAM-BR2_bkochuparamb,90000.0
BMIAO-PF4CFQ04_bmiao,86000.0
BOB_Libra2.1-ELP2-SVT34,93541.18104118104
BRIAN_bcampbell,58000.999500249876
BRYAN_X1,57050.60467300693
CARBON9TH_Dexter,57053.29153605016
CARLLAPTOP_CarlWu,57000.0
CARZADON-3JDEXX_carzadon,50449.87146529563
CBLACKBURN-E2WL_cblackburn,89998.04839968774
CBLACKBURN-TSG2_cblackburn,57998.99949974987
CBLACKBURNXY23A_cblackburn,52500.254608412266
CBOULTON-5METJ1_cboulton,75000.0
CCHEN50-F3PD01M_cchen50,57000.22691173133
CCHOW3-PF4S7DN8_cchow3,39300.48890560361
CCHOW3-PF4YBY4D_cchow3,75000.0
CCOLGLAZIER-V05_ccolglazier,60000.0
CCOURTEIX-C7ECE_ccourteix,58000.999500249876
CDORNER-F5WFAPN_cdorner,99899.9699909973
CFERLAND-0DYS2P_cferland,58000.582920431356
CGOOTEE-F66K4JN_cgootee,75000.0
CHANGYC2-1QSR8D_changyc2,48009.79791794244
CHIKARA7-3PAB5T_chikara7,57047.93545325107
CHIKARA7-ZBPQUS_chikara7,57031.171694898265
CMORATAYA-MDFJZ_cmorataya,75000.0
COC-X9-BE1_kojik,55101.235904128174
COLIN_cdorner,99899.90991892703
CPC-TESTER5_Ridge_Jia,52500.24274201379
CPCTESTER202407_49005,58001.35698361927
CPOWELL1-577MKQ_cpowell1,57030.078944738685
CPOWELL1-PF4Z89_cpowell1,52499.727698507784
CQUEEN-PW06FV2M_cqueen,90088.66755739099
CQUICK-PF4H4VXC_cquick,54700.17018720593
CQUITIAN-5E0G78_cquitian,57997.82372143634
CRAMPELBERG-VRJ_T14,56999.90092143069
CRAMPELBERG-VRJ_crampelberg,56999.90092143069
CRISTIAN_cmorataya,54699.83018679453
CSILVA30-674ERX_csilva30,58002.599220233926
CTURNER-1000036_cturner,90001.02239034863
CTURNER-F4T62ZK_cturner,75000.0
CTURNER_cturner,54729.914998629014
CXTESTT14P_liufe,75000.0
DAVID_dcosby,58000.201389588154
DBROWN6-F4RV7QY_dbrown6,52570.0
DEBORAH_drepplier,58000.0
DESKTOP-0OFMVDC_x1,57029.63847573553
DESKTOP-0R32PSA_ah,57999.78878445454
DESKTOP-2OI6HV8_jnunez5,57999.80523906904
DESKTOP-56S79KM_DEV-condor,58001.35698361927
DESKTOP-5TU0QIM_igluzman,58000.77866459023
DESKTOP-65B5D4E_Mark,90003.88450084164
DESKTOP-6BVEF2H_PF4LS9A1,57001.08086862534
DESKTOP-8L6GNCN_Winson_Chiu,58000.40975209998
DESKTOP-AN20HIT_kpatton,58000.999500249876
DESKTOP-BJGS966_DEV,58001.003260596946
DESKTOP-BUL3M0Q_DEV,57999.80618276965
DESKTOP-CDUSM1A_T14s,57999.80137054325
DESKTOP-DR88TUK_DEV-Condor,58000.999500249876
DESKTOP-EP8TDGT_nmadhani,58001.16663426016
DESKTOP-F4I6BLL_jl240,51000.58858151854
DESKTOP-K1B42LP_SVT-GM5-who2-No-B,58000.0
DESKTOP-KQ90P7N_jkleissler,58000.196444357134
DESKTOP-LBSEJ4D_perf-test,57000.513610683105
DESKTOP-MMH8JIS_chee1,49500.29982010793
DESKTOP-N9S9JC9_think,47000.0
DESKTOP-QAH5T71_ehowe,58000.0
DESKTOP-QLOL3EV_ehowe,58000.0
DESKTOP-VBGKQ59_rtwall,57999.23634975181
DHARDING-55C9NC_dharding,58000.38602586373
DHERRING1-6KYF4_dherring1,75002.42789161892
DILIPB-PF66R2P1_dilipb,58000.999500249876
DILLON_dpaquin,57000.0
DJR-PF3R8T3C_djr,57000.31181789835
DKUNTTU-F4JTB5W_dkunttu,72159.96710188137
DKUNTTU-F4ML5R6_dkunttu,57030.28576853698
DKUNTTU-F5AZ5F3_dkunttu,79998.04572991988
DKUNTTU-W0CXCFB_dkunttu,57999.391295526024
DLI13-PW0HKDEK_dli13,57001.386413151115
DLOMIS-PF58PBCR_X1,57029.54590521515
DLOMIS-PF58PBCR_dlomis,57029.54590521515
