anchor,delay_h
start,10.726111111111111
start,0.5
start,15.913333333333334
start,9.000277777777777
start,146.7488888888889
start,14.355277777777777
start,154.87944444444443
start,9.788611111111111
start,61.99472222222222
start,60.39083333333333
start,45.03388888888889
start,31.290555555555557
start,8.976944444444445
start,15.982777777777779
start,59.080555555555556
start,12.216666666666667
start,73.25138888888888
start,23.98472222222222
start,24.82777777777778
start,95.8175
start,10.74638888888889
start,16.377222222222223
start,24.68027777777778
start,0.0
start,4.549722222222222
start,25.948611111111113
start,7.4158333333333335
start,23.345
start,13.297777777777778
start,19.1975
start,24.494444444444444
start,1.0
start,20.213055555555556
start,66.59277777777778
start,133.6825
start,0.0
start,5.164722222222222
start,25.739722222222223
start,0.0
start,107.10583333333334
start,0.0
start,95.50333333333333
start,0.0
start,133.2838888888889
start,121.7838888888889
start,21.444166666666668
start,38.675
start,15.001111111111111
start,0.0
start,0.0
start,94.82638888888889
start,147.09833333333333
start,27.68611111111111
start,132.44333333333333
start,144.51416666666665
start,8.099444444444444
start,118.78166666666667
start,70.2063888888889
start,1.0
start,4.296666666666667
start,124.46305555555556
start,31.195833333333333
start,126.12277777777778
start,54.9125
start,28.975
start,21.558611111111112
start,3.5475
start,90.57888888888888
start,55.3525
start,1.0
start,68.86694444444444
start,25.780833333333334
start,31.34
start,5.780555555555556
start,27.47277777777778
start,19.61777777777778
start,76.42805555555556
start,6.289722222222222
start,0.8308333333333333
start,42.8775
start,52.99777777777778
start,133.74805555555557
start,128.6952777777778
start,3.4252777777777776
start,21.627777777777776
start,96.06388888888888
start,0.0
start,149.15444444444444
start,164.20055555555555
start,87.46138888888889
start,71.54638888888888
start,42.44416666666667
start,37.908611111111114
start,4.442222222222222
start,92.99944444444445
start,4.200555555555556
start,13.055555555555555
start,50.1175
start,20.256944444444443
start,57.315555555555555
start,26.46611111111111
start,0.0
start,27.270833333333332
start,76.11916666666667
start,13.716944444444444
start,18.974166666666665
start,42.59
start,27.11
start,2.035833333333333
start,38.48722222222222
start,14.611944444444445
start,55.24777777777778
start,7.949166666666667
start,20.139722222222222
start,71.54305555555555
start,108.42722222222223
start,2.0
start,28.6625
start,1.7905555555555555
start,3.215
start,15.286666666666667
start,5.0425
start,4.301388888888889
start,3.2325
start,3.283333333333333
start,154.10166666666666
start,0.18166666666666667
start,115.58805555555556
start,7.8886111111111115
start,61.25527777777778
start,16.706666666666667
start,3.5641666666666665
start,0.0
start,138.87694444444443
start,93.4525
start,6.9286111111111115
start,10.065
start,163.00027777777777
start,21.4575
start,25.310833333333335
start,38.24861111111111
start,14.799166666666666
start,98.3086111111111
start,92.60166666666667
start,42.05555555555556
start,19.49888888888889
start,46.37
start,44.276944444444446
start,21.59
start,0.0
start,2.4994444444444444
start,12.851111111111111
start,29.389444444444443
start,22.913333333333334
start,15.79861111111111
start,0.39555555555555555
start,23.8625
start,9.341666666666667
start,119.40583333333333
start,23.8625
start,9.341666666666667
start,119.40583333333333
start,28.356666666666666
start,102.46888888888888
start,27.078611111111112
start,53.613055555555555
start,24.415277777777778
start,0.0
start,5.693611111111111
start,0.0
start,0.0
start,25.502222222222223
start,10.838611111111112
start,7.863888888888889
start,8.48
start,2.8675
start,0.8297222222222222
start,6.864166666666667
start,17.26888888888889
start,0.0
start,46.42055555555555
start,0.6194444444444445
start,21.238888888888887
start,5.990555555555556
start,12.203888888888889
start,15.430555555555555
start,0.0
start,117.6288888888889
start,68.47638888888889
start,13.660833333333333
start,6.0761111111111115
start,136.91
start,113.22416666666666
start,93.8536111111111
start,27.688333333333333
start,52.12277777777778
start,29.493055555555557
start,13.743055555555555
start,145.09916666666666
start,34.49611111111111
start,152.72583333333333
start,79.68805555555555
start,6.029166666666667
start,0.0
start,10.296944444444444
start,2.098888888888889
start,22.275
start,0.9738888888888889
start,1.4480555555555557
start,1.8383333333333334
start,2.9855555555555555
start,1.0
start,14.335
start,5.135555555555555
start,26.259722222222223
start,9.553055555555556
start,8.891111111111112
start,1.5
start,1.5
start,49.105555555555554
start,7.6338888888888885
start,7.587777777777778
start,6.560277777777777
start,0.0
start,14.328611111111112
start,46.79138888888889
start,20.99222222222222
start,1.0
start,1.0
start,0.8966666666666666
start,0.9969444444444444
start,0.4975
start,123.24222222222222
start,1.0
start,1.0005555555555556
start,4.224166666666667
start,1.0002777777777778
start,6.107222222222222
start,1.7791666666666666
start,4.826666666666667
start,0.5
start,1.0
start,1.0
start,24.3625
start,125.2975
start,1.0
start,1.0
start,1.03
start,14.172222222222222
start,12.082222222222223
start,34.74444444444445
start,161.48583333333335
start,139.34777777777776
start,117.60055555555556
start,97.22916666666667
start,92.22916666666667
start,0.0
start,166.29611111111112
start,46.44555555555556
start,0.6138888888888889
start,1.0
start,6.769166666666667
start,72.28083333333333
start,9.575833333333334
start,117.03083333333333
start,1.0002777777777778
start,8.317222222222222
start,19.578611111111112
start,1.0
start,0.0
start,14.962777777777777
start,139.35555555555555
start,25.530277777777776
start,0.5002777777777778
start,21.51888888888889
start,18.673055555555557
start,0.0
start,99.03861111111111
start,75.3975
start,42.5
start,102.07805555555555
start,73.24888888888889
start,0.0
start,1.0
start,1.0
start,48.18055555555556
start,120.61722222222222
start,71.97805555555556
start,1.0
start,1.0
start,46.000277777777775
start,100.99722222222222
start,1.5
start,49.17944444444444
start,57.95611111111111
start,0.0
start,100.23027777777777
start,0.0
start,4.9783333333333335
start,17.52888888888889
start,88.86888888888889
start,6.0280555555555555
start,136.06916666666666
start,104.64444444444445
start,24.301388888888887
start,136.64277777777778
start,0.0
start,93.30916666666667
start,63.22472222222222
start,39.01583333333333
start,79.99027777777778
start,0.0
start,0.5
start,80.13027777777778
start,0.96
start,13.175
start,1.396388888888889
start,1.7233333333333334
start,12.137222222222222
start,0.0
start,15.245
start,21.370833333333334
start,9.02361111111111
start,18.282777777777778
start,1.0
start,5.681111111111111
start,0.0
start,28.756944444444443
start,23.246111111111112
start,1.0
start,118.99222222222222
start,34.69722222222222
start,5.000277777777778
start,19.753888888888888
start,0.0
start,5.779444444444445
start,21.09611111111111
start,10.81
start,21.545
start,21.96527777777778
start,18.619444444444444
start,4.251388888888889
start,0.0
start,1.798888888888889
start,0.0
start,71.85083333333333
start,1.6902777777777778
start,23.486666666666668
start,30.194444444444443
start,0.0
start,1.7777777777777777
start,57.58361111111111
start,3.2063888888888887
start,10.664444444444445
start,38.405277777777776
